수행시간,테스트번호,테스트케이스,행동,성공여부,시간차,진행시간,담당자,이메일,추가
2024-02-13 17:28,a01,다음메인화면 확인,메인화면이_접속이_되는가다음,PASS,0.0,4.026,개발1팀,kuick1@hanmail.net,
2024-02-13 17:28,a02,다음메인화면 확인,지도버튼이_있는가,PASS,0.13,4.153,개발1팀,kuick1@hanmail.net,
2024-02-13 17:28,a03,다음메인화면 확인,쇼핑버튼이_존재하는가,PASS,0.16,4.309,개발1팀,kuick1@hanmail.net,
2024-02-13 17:28,a04,다음메인화면 확인,로그인버튼이_눌러지는가,PASS,0.7,5.007,개발1팀,kuick1@hanmail.net,
2024-02-13 17:28,a05,네이버메인화면,네이버_메인화면이_접속이_되는가네이버,PASS,0.0,0.907,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a06,네이버메인화면,지도버튼이_있는가,PASS,0.38,1.287,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a07,네이버메인화면,쇼핑버튼이_존재하는가,PASS,0.07,1.353,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a08,네이버메인화면,글씨_입력하기,PASS,0.11,1.467,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a09,네이버메인화면,로그인버튼이_눌러지는가,PASS,0.99,2.454,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a10,네이버메인화면,잠깐_쉬어라,PASS,2.02,4.476,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a11,링크여는 화면,링크여는_화면,PASS,0.0,1.703,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a12,링크여는 화면,글씨가_눌러지는가,PASS,0.27,1.974,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a13,링크여는 화면,잠깐_쉬어라,PASS,1.02,2.994,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a14,링크여는 화면,다음창으로_이동해라,PASS,0.18,3.175,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a15,링크여는 화면,창을_닫아라,PASS,0.04,3.211,개발2팀,kuick1@naver.com,
2024-02-13 17:28,a16,드롭박스 확인,링크여는_화면,PASS,0.94,4.151,개발3팀,kuick1@naver.com,
2024-02-13 17:28,a17,드롭박스 확인,아이프레임변경,PASS,0.23,4.378,개발3팀,kuick1@naver.com,
